number ,value  ,datetime_start             ,datetime_complete          ,duration               ,params_lgbm__bagging_fraction ,params_lgbm__bagging_freq ,params_lgbm__feature_fraction ,params_lgbm__lambda_l1 ,params_lgbm__lambda_l2 ,params_lgbm__min_child_samples ,params_lgbm__n_estimators ,params_lgbm__num_leaves ,state
379    ,-2.126 ,2021-10-26 21:17:36.946588 ,2021-10-26 21:17:59.507650 ,0 days 00:00:22.561062 ,0.46686405973514333           ,7                         ,0.6610292158251864            ,0.0003361106891137224  ,0.0028582759499918746  ,27                             ,351                       ,162                     ,COMPLETE
147    ,-2.126 ,2021-10-26 21:09:43.673932 ,2021-10-26 21:09:56.349404 ,0 days 00:00:12.675472 ,0.6382775711349188            ,2                         ,0.8626678438961779            ,0.41411251935363913    ,0.02907883598470448    ,82                             ,483                       ,62                      ,COMPLETE
172    ,-2.118 ,2021-10-26 21:10:33.835967 ,2021-10-26 21:10:45.427518 ,0 days 00:00:11.591551 ,0.6134696502925593            ,4                         ,0.8968146117760575            ,0.8665209246313677     ,0.5420441369922223     ,73                             ,514                       ,219                     ,COMPLETE
296    ,-2.1   ,2021-10-26 21:14:58.630083 ,2021-10-26 21:15:15.559682 ,0 days 00:00:16.929599 ,0.46546102768825803           ,6                         ,0.6764509429615216            ,0.027681439609622056   ,0.00923573592161698    ,17                             ,395                       ,190                     ,COMPLETE
110    ,-2.097 ,2021-10-26 21:08:26.113473 ,2021-10-26 21:08:47.761683 ,0 days 00:00:21.648210 ,0.6229834823894858            ,5                         ,0.8241764668453182            ,0.008077425595887136   ,0.0008720124194960407  ,37                             ,420                       ,22                      ,COMPLETE
94     ,-2.096 ,2021-10-26 21:07:55.258618 ,2021-10-26 21:08:08.270389 ,0 days 00:00:13.011771 ,0.6613575729661871            ,3                         ,0.7799682663230318            ,0.32890412602050073    ,0.0016566670084525409  ,41                             ,551                       ,225                     ,COMPLETE
243    ,-2.089 ,2021-10-26 21:13:06.926860 ,2021-10-26 21:13:23.261356 ,0 days 00:00:16.334496 ,0.42652630398003477           ,7                         ,0.6356297373279087            ,0.004856598874250221   ,0.0011964558227793203  ,29                             ,379                       ,2                       ,COMPLETE
50     ,-2.086 ,2021-10-26 21:06:42.104067 ,2021-10-26 21:06:49.943579 ,0 days 00:00:07.839512 ,0.528585326942309             ,1                         ,0.8661579807806014            ,7.367269453935347      ,0.025358668481475066   ,58                             ,537                       ,248                     ,COMPLETE
175    ,-2.058 ,2021-10-26 21:10:35.964326 ,2021-10-26 21:10:42.553654 ,0 days 00:00:06.589328 ,0.6142628856670824            ,4                         ,0.811498259376809             ,0.20918263134078546    ,0.00014318155455490293 ,71                             ,336                       ,256                     ,COMPLETE
261    ,-2.054 ,2021-10-26 21:13:44.693461 ,2021-10-26 21:13:59.057495 ,0 days 00:00:14.364034 ,0.4126311394952308            ,7                         ,0.5737873147011046            ,0.046520402550104825   ,0.0060456744531049225  ,31                             ,417                       ,2                       ,COMPLETE
28     ,-2.045 ,2021-10-26 21:06:03.034007 ,2021-10-26 21:06:11.034853 ,0 days 00:00:08.000846 ,0.8134243585869153            ,7                         ,0.9928435443057859            ,0.0033990762763792463  ,0.007325243904890553   ,68                             ,258                       ,4                       ,COMPLETE
47     ,-2.042 ,2021-10-26 21:06:37.573750 ,2021-10-26 21:06:48.299934 ,0 days 00:00:10.726184 ,0.4674688857928331            ,2                         ,0.8311742291357944            ,0.0005570215220017455  ,0.04224460279078203    ,57                             ,436                       ,141                     ,COMPLETE
153    ,-2.015 ,2021-10-26 21:09:52.636561 ,2021-10-26 21:10:10.089235 ,0 days 00:00:17.452674 ,0.6741712931700519            ,4                         ,0.8639661339105835            ,0.4273223616426018     ,3.2634939131616565     ,76                             ,543                       ,104                     ,COMPLETE
198    ,-2.013 ,2021-10-26 21:11:10.501120 ,2021-10-26 21:11:28.220655 ,0 days 00:00:17.719535 ,0.48429303530228907           ,6                         ,0.7310584175170887            ,2.466756852643641      ,0.005089017329710398   ,19                             ,394                       ,21                      ,COMPLETE
196    ,-2.001 ,2021-10-26 21:11:09.007708 ,2021-10-26 21:11:27.095719 ,0 days 00:00:18.088011 ,0.5268490052955541            ,6                         ,0.7259651578471679            ,0.008762539948611925   ,0.0015505047768068583  ,24                             ,393                       ,19                      ,COMPLETE
121    ,-1.988 ,2021-10-26 21:08:49.650525 ,2021-10-26 21:09:06.430302 ,0 days 00:00:16.779777 ,0.5805683280959655            ,3                         ,0.9720362636131062            ,0.15871508024927494    ,1.8371354351227263     ,43                             ,441                       ,36                      ,COMPLETE
122    ,-1.988 ,2021-10-26 21:08:49.742994 ,2021-10-26 21:09:10.014925 ,0 days 00:00:20.271931 ,0.601831638970326             ,3                         ,0.8998894703325859            ,0.6414334673481878     ,0.4201816018602526     ,43                             ,433                       ,10                      ,COMPLETE
79     ,-1.959 ,2021-10-26 21:07:25.174068 ,2021-10-26 21:07:37.325338 ,0 days 00:00:12.151270 ,0.7325691642243592            ,2                         ,0.6901502896240974            ,2.1725026847365223     ,8.402117281470612e-06  ,71                             ,515                       ,194                     ,COMPLETE
80     ,-1.942 ,2021-10-26 21:07:25.393717 ,2021-10-26 21:07:37.261744 ,0 days 00:00:11.868027 ,0.7038178271324284            ,4                         ,0.8532809805822312            ,2.2209128676278906     ,0.011380234998200992   ,71                             ,516                       ,198                     ,COMPLETE
377    ,-1.913 ,2021-10-26 21:17:35.135956 ,2021-10-26 21:17:57.338221 ,0 days 00:00:22.202265 ,0.46524915094064007           ,7                         ,0.6750395585063945            ,0.05364456219367677    ,0.0029626143325066205  ,25                             ,617                       ,159                     ,COMPLETE
100    ,-1.909 ,2021-10-26 21:08:05.390765 ,2021-10-26 21:08:23.021275 ,0 days 00:00:17.630510 ,0.5111945760631202            ,3                         ,0.7342594838889438            ,0.0012712796723243949  ,0.0018199167868333753  ,66                             ,496                       ,221                     ,COMPLETE
106    ,-1.872 ,2021-10-26 21:08:11.140548 ,2021-10-26 21:08:33.744665 ,0 days 00:00:22.604117 ,0.6239618797222939            ,5                         ,0.7967328074677992            ,0.005876457472149308   ,0.0021824178104617037  ,53                             ,413                       ,22                      ,COMPLETE
57     ,-1.835 ,2021-10-26 21:06:49.954929 ,2021-10-26 21:07:08.869729 ,0 days 00:00:18.914800 ,0.6094248695532315            ,3                         ,0.925842010900167             ,1.0045910694745466e-07 ,0.13984148295021118    ,54                             ,583                       ,44                      ,COMPLETE
177    ,-1.803 ,2021-10-26 21:10:40.768887 ,2021-10-26 21:10:54.135154 ,0 days 00:00:13.366267 ,0.5394623290765995            ,2                         ,0.8354354340870433            ,1.89569756960942       ,0.2896357094826933     ,46                             ,337                       ,49                      ,COMPLETE
242    ,-1.784 ,2021-10-26 21:13:05.779130 ,2021-10-26 21:13:18.561221 ,0 days 00:00:12.782091 ,0.4019165057196889            ,7                         ,0.6341643153592972            ,0.004892354892870432   ,0.0005678245137455372  ,25                             ,379                       ,5                       ,COMPLETE
262    ,-1.774 ,2021-10-26 21:13:45.422379 ,2021-10-26 21:14:03.534575 ,0 days 00:00:18.112196 ,0.4128815625809707            ,7                         ,0.5666551855835094            ,0.0018928913074749763  ,0.007658348518421571   ,31                             ,420                       ,6                       ,COMPLETE
